49.223: [Full GC 34006K->20694K(49152K), 0.4963690 secs]
49.731: [Full GC 34006K->20694K(49152K), 0.4969980 secs]
50.235: [Full GC 34006K->20694K(49152K), 0.4941150 secs]
50.737: [Full GC 34006K->20694K(49152K), 0.4980790 secs]
51.243: [Full GC 34006K->20694K(49152K), 0.4976400 secs]
51.748: [Full GC 34006K->20694K(49152K), 0.5013660 secs]
52.257: [Full GC 34006K->20694K(49152K), 0.5017430 secs]
52.767: [Full GC 34006K->20694K(49152K), 0.5026150 secs]
53.277: [Full GC 34006K->20694K(49152K), 0.4965800 secs]
53.781: [Full GC 34006K->20694K(49152K), 0.5017140 secs]
54.293: [Full GC 34006K->20694K(49152K), 0.5254440 secs]
54.826: [Full GC 34006K->20694K(49152K), 0.5140460 secs]
55.351: [Full GC 34006K->20694K(49152K), 0.5126450 secs]
55.872: [Full GC 34006K->20694K(49152K), 0.5412740 secs]
56.421: [Full GC 34006K->20694K(49152K), 0.4978060 secs]
56.926: [Full GC 34006K->20694K(49152K), 0.5046740 secs]
57.438: [Full GC 34006K->20694K(49152K), 0.4994110 secs]
57.946: [Full GC 34006K->20694K(49152K), 0.5153700 secs]
58.468: [Full GC 34006K->20694K(49152K), 0.4998260 secs]
58.976: [Full GC 34006K->20694K(49152K), 0.5014120 secs]
59.485: [Full GC 34006K->20694K(49152K), 0.5009930 secs]
59.994: [Full GC 34006K->20694K(49152K), 0.4983500 secs]
60.501: [Full GC 34006K->20694K(49152K), 0.4891360 secs]
60.997: [Full GC 34006K->20694K(49152K), 0.5018380 secs]
61.507: [Full GC 34006K->20694K(49152K), 0.4982230 secs]
62.013: [Full GC 34006K->20694K(49152K), 0.5198460 secs]
62.540: [Full GC 34006K->20694K(49152K), 0.5127660 secs]
63.060: [Full GC 34006K->20694K(49152K), 0.4998340 secs]
63.567: [Full GC 34006K->20694K(49152K), 0.4970350 secs]
64.071: [Full GC 34006K->20694K(49152K), 0.5038290 secs]
64.583: [Full GC 34006K->20694K(49152K), 0.4999260 secs]
65.098: [Full GC 34006K->20694K(49152K), 0.5186520 secs]
65.624: [Full GC 34006K->20694K(49152K), 0.5021710 secs]
66.133: [Full GC 34006K->20694K(49152K), 0.4999090 secs]
66.641: [Full GC 34006K->20694K(49152K), 0.5079000 secs]
67.156: [Full GC 34006K->20694K(49152K), 0.5012460 secs]
67.665: [Full GC 34006K->20694K(49152K), 0.5031150 secs]
68.177: [Full GC 34006K->20694K(49152K), 0.5029500 secs]
68.688: [Full GC 34006K->20694K(49152K), 0.4967600 secs]
69.192: [Full GC 34006K->20694K(49152K), 0.5007350 secs]
69.705: [Full GC 34006K->20694K(49152K), 0.4993890 secs]
70.211: [Full GC 34006K->20694K(49152K), 0.5133950 secs]
70.732: [Full GC 34006K->20694K(49152K), 0.4999530 secs]
71.240: [Full GC 34006K->20694K(49152K), 0.5009030 secs]
71.748: [Full GC 34006K->20694K(49152K), 0.4947080 secs]
72.250: [Full GC 34006K->20694K(49152K), 0.5184510 secs]
72.776: [Full GC 34006K->20694K(49152K), 0.5089670 secs]
73.293: [Full GC 34006K->20694K(49152K), 0.5035080 secs]
73.803: [Full GC 34006K->20694K(49152K), 0.5013120 secs]
74.313: [Full GC 34006K->20694K(49152K), 0.5043630 secs]
74.824: [Full GC 34006K->20694K(49152K), 0.5219830 secs]
75.354: [Full GC 34006K->20694K(49152K), 0.5017230 secs]
75.869: [Full GC 34006K->20694K(49152K), 0.5034940 secs]
76.380: [Full GC 34006K->20694K(49152K), 0.4948830 secs]
76.883: [Full GC 34006K->20694K(49152K), 0.5283530 secs]
77.418: [Full GC 34006K->20694K(49152K), 0.5019300 secs]
77.927: [Full GC 34006K->20694K(49152K), 0.4935460 secs]
78.428: [Full GC 34006K->20694K(49152K), 0.5086220 secs]
78.946: [Full GC 34006K->20694K(49152K), 0.5048720 secs]
79.459: [Full GC 34006K->20694K(49152K), 0.5273530 secs]
80.000: [Full GC 34006K->20694K(49152K), 0.5066550 secs]
80.514: [Full GC 34006K->20694K(49152K), 0.5017950 secs]
81.024: [Full GC 34006K->20694K(49152K), 0.4983000 secs]
81.529: [Full GC 34006K->20694K(49152K), 0.5238300 secs]
82.065: [Full GC 34006K->20694K(49152K), 0.5138950 secs]
82.586: [Full GC 34006K->20694K(49152K), 0.5069130 secs]
83.100: [Full GC 34006K->20694K(49152K), 0.5099770 secs]
83.617: [Full GC 34006K->20694K(49152K), 0.5020290 secs]
84.126: [Full GC 34006K->20694K(49152K), 0.4997040 secs]
84.633: [Full GC 34006K->20694K(49152K), 0.5049250 secs]
85.150: [Full GC 34006K->20694K(49152K), 0.4967850 secs]
85.654: [Full GC 34006K->20694K(49152K), 0.5018970 secs]
86.164: [Full GC 34006K->20694K(49152K), 0.4973120 secs]
86.672: [Full GC 34006K->20694K(49152K), 0.5036430 secs]
87.187: [Full GC 34006K->20694K(49152K), 0.5048510 secs]
87.699: [Full GC 34006K->20694K(49152K), 0.4975330 secs]
88.205: [Full GC 34006K->20694K(49152K), 0.5049320 secs]
88.718: [Full GC 34006K->20694K(49152K), 0.4985850 secs]
89.224: [Full GC 34006K->20694K(49152K), 0.5294160 secs]
89.770: [Full GC 34006K->20694K(49152K), 0.5074380 secs]
90.285: [Full GC 34006K->20694K(49152K), 0.4978870 secs]
90.790: [Full GC 34006K->20694K(49152K), 0.5026330 secs]
91.301: [Full GC 34006K->20694K(49152K), 0.5009010 secs]
91.811: [Full GC 34006K->20694K(49152K), 0.4979040 secs]
92.316: [Full GC 34006K->20694K(49152K), 0.4955470 secs]
92.820: [Full GC 34006K->20694K(49152K), 0.5055670 secs]
93.332: [Full GC 34006K->20694K(49152K), 0.5008290 secs]
93.840: [Full GC 34006K->20694K(49152K), 0.5050460 secs]
94.353: [Full GC 34006K->20694K(49152K), 0.4979770 secs]
94.860: [Full GC 34006K->20694K(49152K), 0.4970390 secs]
95.364: [Full GC 34006K->20694K(49152K), 0.5012040 secs]
95.873: [Full GC 34006K->20694K(49152K), 0.5753040 secs]
96.456: [Full GC 34006K->20694K(49152K), 0.4993730 secs]
96.963: [Full GC 34006K->20694K(49152K), 0.5276160 secs]
97.498: [Full GC 34006K->20694K(49152K), 0.5005770 secs]
98.006: [Full GC 34006K->20694K(49152K), 0.5026760 secs]
98.515: [Full GC 34006K->20694K(49152K), 0.5018730 secs]
99.028: [Full GC 34006K->20694K(49152K), 0.4936770 secs]
99.529: [Full GC 34006K->20694K(49152K), 0.5049460 secs]
100.042: [Full GC 34006K->20694K(49152K), 0.5004300 secs]
